analysis_date,articles,mean_score
2026-04-04,1,11.0
2026-04-06,1,11.0
2026-04-07,2,11.0
2026-04-08,6,16.0
2026-04-09,3,13.0
2026-04-10,6,18.333333333333332
2026-04-11,2,13.0
2026-04-12,7,18.285714285714285
2026-04-13,35,12.028571428571428
2026-04-20,3,17.333333333333332
2026-04-21,2,9.0
2026-04-22,4,17.25
2026-04-23,17,17.705882352941178
2026-04-24,27,12.777777777777779
