region,articles,share_pct
Iran/Tehran,104,84.5528455284553
Israel,81,65.85365853658537
Hormuz/Red Sea,72,58.536585365853654
Lebanon/Hezbollah,54,43.90243902439025
Gaza/Palestine,17,13.821138211382115
Iraq,12,9.75609756097561
Yemen/Houthi,9,7.317073170731707
Syria,4,3.2520325203252036
