theme,articles,share_pct
War,102,82.92682926829268
Security/Diplomacy,98,79.67479674796748
Attack/Strike,87,70.73170731707317
Military/Forces,83,67.47967479674797
Blockade/Shipping,81,65.85365853658537
Ceasefire/Truce,77,62.601626016260155
Civilian Harm,54,43.90243902439025
Drone/Missile,24,19.51219512195122
